nom/verbe	fierté	honte	respect	mépris	jalousie	pitié
bond	0	0	0	0	1	0
geste	13	4	74	37	3	21
élan	20	4	3	2	15	16
bondir	1	0	0	0	0	1						
courir	0	0	0	1	0	0
éclater	3	1	1	0	2	1						
reculer	0	4	0	0	0	0						
s’écarter	0	0	20	0	0	0
se dresser	1	0	0	0	0	0
frisson	6	6	2	0	2	1
tremblement	0	0	0	0	2	0
larme	13	25	0	0	1	10						
bouillir	1	0	0	0	3	0
défaillir	0	3	0	0	0	0						
frissonner	0	4	0	1	0	0						
pleurer	5	77	0	0	10	17
s’évanouir	0	2	0	1	0	0
suer	1	2	0	0	0	0
suffoquer	0	2	0	0	0	1
trembler	0	17	4	0	3	0
tressaillir	3	0	0	0	1	0